epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,5504.82,1.21932,2.36295,1.56609,0.48003,0.45195,0.43267,0.26794,1.57907,3.16219,1.84152,0.00051985,0.00051985,0.00051985
99,5548.71,1.20329,2.31219,1.54319,0.41549,0.47568,0.42722,0.2702,1.59627,2.88004,1.85887,0.0005149,0.0005149,0.0005149
100,5591.91,1.19752,2.231,1.52466,0.4543,0.46842,0.41995,0.26388,1.68257,3.03043,1.95056,0.00050995,0.00050995,0.00050995
101,5634.44,1.21304,2.29305,1.52673,0.49689,0.43439,0.43128,0.27324,1.65783,2.98603,1.9435,0.000505,0.000505,0.000505
102,5677.44,1.19304,2.24068,1.52095,0.40484,0.42941,0.39488,0.23568,1.66766,3.07813,1.93364,0.00050005,0.00050005,0.00050005
103,5720.24,1.19654,2.29209,1.53115,0.45218,0.33664,0.389,0.23575,1.62432,3.27001,1.92168,0.0004951,0.0004951,0.0004951
104,5763.62,1.208,2.27321,1.54037,0.42832,0.474,0.43064,0.2596,1.60482,3.20781,1.91169,0.00049015,0.00049015,0.00049015
105,5807.03,1.20033,2.29722,1.54013,0.41812,0.42168,0.41,0.24977,1.68862,3.20873,1.9575,0.0004852,0.0004852,0.0004852
106,5850.01,1.18595,2.25807,1.51832,0.54688,0.44001,0.45211,0.27537,1.60572,3.13146,1.87056,0.00048025,0.00048025,0.00048025
107,5893.14,1.17353,2.21178,1.51809,0.50133,0.40929,0.39611,0.24546,1.59935,3.02423,1.8934,0.0004753,0.0004753,0.0004753
108,5936.06,1.1655,2.19624,1.51419,0.47742,0.41795,0.41205,0.25466,1.55866,3.33562,1.85608,0.00047035,0.00047035,0.00047035
109,5978.41,1.16081,2.17884,1.50032,0.38755,0.34725,0.35151,0.21416,1.6409,3.35406,1.92785,0.0004654,0.0004654,0.0004654
110,6021.6,1.17526,2.18859,1.52107,0.48403,0.42714,0.4248,0.26539,1.59598,3.24827,1.87836,0.00046045,0.00046045,0.00046045
